,population,gdp,carbon_intensity_elec,electricity_demand,electricity_generation,fossil_electricity,fossil_share_elec,greenhouse_gas_emissions,net_elec_imports,per_capita_electricity,renewables_electricity,gdp_per_capita,clusters,cluster
0,19542986.0,11283792896.0,255.319,0.57,0.47,0.16,34.043,0.12,0.1,24.05,0.31,577.3832563764821,0,pink
1,19688634.0,11021273088.0,118.644,0.69,0.59,0.09,15.254,0.07,0.1,29.967,0.5,559.7784532944236,0,pink
2,21000258.0,18804871168.0,144.928,0.79,0.69,0.13,18.841,0.1,0.1,32.857,0.56,895.4590542649523,0,pink
3,22645136.0,21074343936.0,255.319,1.04,0.94,0.31,32.979,0.24,0.1,41.51,0.63,930.634461016264,0,pink
4,23553554.0,22332571648.0,269.663,0.99,0.89,0.33,37.079,0.24,0.1,37.786,0.56,948.1614387365915,0,pink
5,24411196.0,25397688320.0,268.817,1.03,0.93,0.34,36.559,0.25,0.1,38.097,0.59,1040.4114702122747,0,pink
6,25442946.0,28704401408.0,190.476,1.27,0.84,0.2,23.81,0.16,0.43,33.015,0.64,1128.187019223324,0,pink
7,25903306.0,34507530240.0,168.421,1.56,0.95,0.2,21.053,0.16,0.61,36.675,0.75,1332.1670307257305,0,pink
8,26427204.0,36561043456.0,191.781,1.48,0.73,0.19,26.027,0.14,0.75,27.623,0.54,1383.4624145634173,0,pink
9,27385310.0,44358721536.0,138.298,2.09,0.94,0.16,17.021,0.13,1.15,34.325,0.78,1619.7998684696283,0,pink
10,28189672.0,47399424000.0,159.574,2.51,0.94,0.19,20.213,0.15,1.57,33.346,0.75,1681.4464531549002,0,pink
11,29249156.0,53326336000.0,179.487,3.03,0.78,0.18,23.077,0.14,2.25,26.667,0.6,1823.1752054657577,0,pink
12,30466484.0,59166900224.0,136.364,3.95,0.88,0.14,15.909,0.12,3.07,28.884,0.74,1942.0324387940527,0,pink
13,31541216.0,62993698816.0,153.153,4.73,1.11,0.22,19.82,0.17,3.62,35.192,0.89,1997.186754499256,0,pink
14,32716214.0,64346107904.0,112.069,4.87,1.16,0.16,13.793,0.13,3.71,35.456,1.0,1966.7956660266373,0,pink
15,33753500.0,62783393792.0,110.169,4.96,1.18,0.15,12.712,0.13,3.78,34.959,1.03,1860.055810271528,0,pink
16,34636212.0,64297426944.0,107.438,5.54,1.21,0.15,12.397,0.13,4.33,34.935,1.06,1856.3642855633288,0,pink
17,35643420.0,68752801792.0,125.984,5.88,1.27,0.18,14.173,0.16,4.61,35.631,1.09,1928.9058623442984,0,pink
18,36686788.0,67594969088.0,136.752,6.16,1.17,0.2,17.094,0.16,4.99,31.892,0.97,1842.4880664941288,0,pink
19,3182027.0,15214264320.0,44.776,5.69,4.69,0.14,2.985,0.21,1.0,1473.903,4.55,4781.312138457656,0,pink
20,3153615.0,16563844096.0,46.575,5.4,3.65,0.13,3.562,0.17,1.75,1157.402,3.52,5252.335524786634,0,pink
21,3123554.0,17408065536.0,52.198,5.75,3.64,0.16,4.396,0.19,2.11,1165.339,3.48,5573.15978401526,0,pink
22,3092993.0,18465497088.0,36.398,6.14,5.22,0.1,1.916,0.19,0.92,1687.686,5.12,5970.106330017559,0,pink
23,3062629.0,19587880960.0,39.711,6.02,5.54,0.13,2.347,0.22,0.48,1808.903,5.41,6395.773356812072,0,pink
24,3032636.0,20781076480.0,33.395,5.76,5.39,0.07,1.299,0.18,0.37,1777.332,5.32,6852.479651366007,0,pink
25,3003391.0,22124285952.0,35.714,5.65,5.04,0.09,1.786,0.18,0.61,1678.103,4.95,7366.43545645572,0,pink
26,2976089.0,23574646784.0,42.403,5.66,2.83,0.07,2.473,0.12,2.83,950.912,2.76,7921.351405821533,0,pink
27,2951690.0,25476937728.0,36.554,6.26,3.83,0.07,1.828,0.14,2.43,1297.562,3.76,8631.305363368105,0,pink
28,2930553.0,26471389184.0,23.077,6.6,5.2,0.0,0.0,0.12,1.4,1774.409,5.2,9032.898972992469,0,pink
29,2913402.0,27598268416.0,24.032,6.54,7.49,0.0,0.0,0.18,-0.95,2570.878,7.49,9472.86657179476,0,pink
30,2900660.0,28452651008.0,33.735,7.41,4.15,0.06,1.446,0.14,3.26,1430.709,4.09,9809.026569125648,0,pink
31,2892191.0,28855377920.0,23.504,7.22,4.68,0.0,0.0,0.11,2.54,1618.15,4.68,9976.995959118882,0,pink
32,2887019.0,29142642688.0,24.673,9.21,6.89,0.0,0.0,0.17,2.32,2386.545,6.89,10094.371629698317,0,pink
33,2884100.0,29675640832.0,23.504,7.75,4.68,0.0,0.0,0.11,3.07,1622.69,4.68,10289.393860129676,0,pink
34,2882482.0,30444531712.0,23.973,7.24,5.84,0.0,0.0,0.14,1.4,2026.032,5.84,10561.915637981434,0,pink
35,2881064.0,31481821184.0,23.377,7.66,7.7,0.0,0.0,0.18,-0.04,2672.624,7.7,10927.150935904236,0,pink
36,2879361.0,32678760448.0,24.554,7.39,4.48,0.0,0.0,0.11,2.91,1555.901,4.48,11349.30995036746,0,pink
37,2877019.0,34009112576.0,23.613,7.56,8.47,0.0,0.0,0.2,-0.91,2944.02,8.47,11820.955153928424,0,pink
38,30774624.0,208554000000.0,508.162,23.82,23.89,23.84,99.791,12.14,-0.07,776.289,0.05,6776.817159488285,0,pink
39,31200984.0,223420000000.0,506.193,24.98,25.03,24.96,99.72,12.67,-0.05,802.218,0.07,7160.671599331611,0,pink
40,31624700.0,245361000000.0,507.308,25.98,26.0,25.94,99.769,13.19,-0.02,822.142,0.06,7758.524191533833,0,pink
41,32055882.0,273569000000.0,503.957,27.81,27.8,27.54,99.065,14.01,0.01,867.235,0.26,8534.127995604676,0,pink
42,32510184.0,296774000000.0,503.232,29.4,29.39,29.14,99.149,14.79,0.01,904.024,0.25,9128.647195598767,0,pink
43,32956690.0,326854000000.0,500.47,31.99,31.91,31.36,98.276,15.97,0.08,968.24,0.55,9917.68287409931,0,pink
44,33435082.0,345705000000.0,503.623,33.2,33.12,32.9,99.336,16.68,0.08,990.576,0.22,10339.588818714426,0,pink
45,33983836.0,371665000000.0,505.576,34.98,34.97,34.75,99.371,17.68,0.01,1029.019,0.22,10936.522881054392,0,pink
46,34569592.0,395659000000.0,505.948,37.78,37.83,37.55,99.26,19.14,-0.05,1094.314,0.28,11445.289837380782,0,pink
47,35196040.0,418248000000.0,503.452,36.18,36.21,35.91,99.172,18.23,-0.03,1028.809,0.3,11883.382335058148,0,pink
48,35856348.0,450706000000.0,503.605,42.92,42.99,42.82,99.605,21.65,-0.07,1198.951,0.17,12569.76867805946,0,pink
49,36543548.0,482035000000.0,501.557,48.03,48.17,47.67,98.962,24.16,-0.14,1318.153,0.5,13190.700585504175,0,pink
50,37260568.0,497923000000.0,499.629,53.93,53.98,53.36,98.851,26.97,-0.05,1448.717,0.62,13363.269180437614,0,pink
51,38000628.0,511888000000.0,504.439,56.23,56.32,55.99,99.414,28.41,-0.09,1482.081,0.33,13470.514224133349,0,pink
52,38760168.0,531308000000.0,505.298,60.21,60.4,60.15,99.586,30.52,-0.19,1558.301,0.25,13707.577325258238,0,pink
53,39543148.0,551519000000.0,504.174,64.65,64.68,64.46,99.66,32.61,-0.03,1635.682,0.22,13947.270965882635,0,pink
54,40339328.0,574696000000.0,503.969,66.52,66.77,66.43,99.491,33.65,-0.25,1655.208,0.34,14246.54372031185,0,pink
55,41136548.0,582167000000.0,503.497,71.16,71.5,70.86,99.105,36.0,-0.34,1738.114,0.64,14152.062540590428,0,pink
56,41927008.0,590318000000.0,501.11,72.01,72.1,71.32,98.918,36.13,-0.09,1719.655,0.78,14079.65958362686,0,pink
57,16394067.0,23512020992.0,264.286,1.4,1.4,0.5,35.714,0.37,0.0,85.397,0.9,1434.1786569494927,0,pink
58,16941584.0,26014777344.0,270.44,1.59,1.59,0.58,36.478,0.43,0.0,93.852,1.01,1535.5575573098713,0,pink
59,17516140.0,31389599744.0,257.31,1.71,1.71,0.58,33.918,0.44,0.0,97.624,1.13,1792.0386423036125,0,pink
